budgetProj,typeProj,avancementProj,stateProj,descriptionProj,nomStrategie
4200,E-commerce,5,PENDING,Améliorer la visibilité de la boutique et attirer de nouveaux clients,Pénétration de marché
4800,Service,8,PENDING,Mettre en place un programme de fidélisation avec points et récompenses,Fidélisation client
5300,E-commerce,12,PENDING,Automatiser le réassort et la gestion des stocks pour gagner en efficacité,Optimisation opérationnelle
5900,Service,15,PENDING,Réduire les coûts de livraison en renégociant les contrats transporteurs,Réduction des coûts
6200,E-commerce,10,PENDING,Refonte du parcours utilisateur pour augmenter le taux de conversion,Expérience utilisateur premium
6800,Service,20,PENDING,Standardiser les processus pour devenir le moins cher du marché,Low-cost / domination par les coûts
7100,E-commerce,18,PENDING,Déployer un CRM et automatiser les campagnes email,Transformation digitale
7500,Service,22,PENDING,Sous-traiter la gestion administrative et la paie à un prestataire,Externalisation stratégique
8200,E-commerce,25,PENDING,Lancer un programme de parrainage et des offres personnalisées,Fidélisation client
9000,Service,10,PENDING,S'associer avec une entreprise de logistique pour mutualiser les tournées,Partenariat et alliance
14500,E-commerce,30,PENDING,Ouvrir des entrepôts dans trois nouvelles régions pour livrer plus vite,Expansion géographique
15500,IT,32,PENDING,Moderniser les services internes avec automatisation et outils cloud,Transformation digitale
16200,E-commerce,35,PENDING,Lancer une nouvelle catégorie de produits complémentaire à l'offre existante,Diversification horizontale
17800,IT,28,PENDING,Optimiser les requêtes base de données et le caching pour réduire les temps de réponse,Optimisation opérationnelle
18500,Service,40,PENDING,Personnaliser l'interface client avec IA pour anticiper les besoins,Expérience utilisateur premium
19200,IT,42,PENDING,Remplacer les logiciels propriétaires coûteux par des solutions open source,Réduction des coûts
21000,Service,38,PENDING,Mettre en place des cycles de développement courts et des rétrospectives hebdomadaires,Agilité et réactivité
22500,IT,45,PENDING,Passer l'infrastructure complète en conteneurs et orchestration Kubernetes,Transformation digitale
23800,Service,44,PENDING,Confier la hotline et le support niveau 1 à un centre de services externe,Externalisation stratégique
24500,IT,50,PENDING,Développer une nouvelle application mobile pour les techniciens terrain,Développement de produit
31000,Industrie,65,ACCEPTED,Automatiser la chaîne d'assemblage avec des robots collaboratifs,Optimisation opérationnelle
32500,Finance,70,ACCEPTED,Mettre l'entreprise en conformité réglementaire et réduire les risques,Conformité et risques
33800,Industrie,68,ACCEPTED,Racheter un fournisseur de matières premières pour contrôler les coûts,Intégration verticale
35000,Finance,72,ACCEPTED,Optimiser les processus de validation et supprimer les doublons,Réduction des coûts
38500,Industrie,60,PENDING,Mettre en place la méthode Lean Six Sigma sur toute la production,Excellence opérationnelle
41000,Finance,55,PENDING,Digitaliser l'octroi de crédits avec un moteur de décision automatique,Transformation digitale
43200,Industrie,62,PENDING,Installer des panneaux solaires et recycler les déchets de production,Durabilité et RSE
45800,Finance,58,PENDING,Automatiser les contrôles anti-blanchiment et les déclarations réglementaires,Conformité et risques
47000,Industrie,75,ACCEPTED,Déployer un système MES et des indicateurs temps réel,Excellence opérationnelle
49500,Finance,80,ACCEPTED,Lancer une offre bancaire grand public avec frais réduits pour gagner des parts de marché,Pénétration de marché
61000,IT,10,PENDING,Créer une plateforme SaaS de gestion de projet pour PME,Développement de produit
63500,Cloud,12,PENDING,Migrer les applications critiques vers des instances serverless,Transformation digitale
66800,IT,15,PENDING,Intégrer des modèles de langage pour automatiser le support client,Développement de produit
69000,Cloud,18,PENDING,Ouvrir des régions cloud en Asie et en Amérique latine,Expansion géographique
72500,IT,20,PENDING,Passer en méthode Scrum avec des livraisons bi-hebdomadaires,Agilité et réactivité
75000,Cloud,8,PENDING,Mettre en place une architecture zero trust et un chiffrement généralisé,Conformité et risques
78200,IT,22,PENDING,Réécrire les services les plus lents en Go pour améliorer le débit,Optimisation opérationnelle
81000,Cloud,14,PENDING,Passer à une facturation à l'usage et supprimer les instances inutilisées,Réduction des coûts
84500,IT,16,PENDING,Lancer un outil d'analyse prédictive pour les ventes B2B,Développement de produit
88000,Cloud,19,PENDING,Devenir partenaire officiel d'un hyperscaler pour revendre ses services,Partenariat et alliance
92000,Industrie,25,PENDING,Acheter une start-up dans l'emballage éco-responsable pour élargir les marchés,Diversification horizontale
95500,Logistique,28,PENDING,Optimiser le chargement des camions avec un algorithme de packing,Optimisation opérationnelle
102000,Industrie,30,PENDING,Développer une nouvelle gamme de batteries recyclables,Développement de produit
